id,name,value
1000,Alabama,0
1001,Autauga,0
1003,Baldwin,0
1005,Barbour,0
1007,Bibb,0
1009,Blount,0
1011,Bullock,0
1013,Butler,0
1015,Calhoun,0
1017,Chambers,0
1019,Cherokee,0
1021,Chilton,0
1023,Choctaw,0
1025,Clarke,0
1027,Clay,0
1029,Cleburne,0
1031,Coffee,0
1033,Colbert,0
1035,Conecuh,0
1037,Coosa,0
1039,Covington,0
1041,Crenshaw,0
1043,Cullman,0
1045,Dale,0
1047,Dallas,0
1049,De Kalb,0
1051,Elmore,0
1053,Escambia,0
1055,Etowah,0
1057,Fayette,0
1059,Franklin,0
1061,Geneva,0
1063,Greene,0
1065,Hale,0
1067,Henry,0
1069,Houston,0
1071,Jackson,0
1073,Jefferson,0
1075,Lamar,0
1077,Lauderdale,0
1079,Lawrence,0
1081,Lee,0
1083,Limestone,0
1085,Lowndes,0
1087,Macon,0
1089,Madison,0
1091,Marengo,0
1093,Marion,0
1095,Marshall,0
1097,Mobile,0
1099,Monroe,0
1101,Montgomery,0
1103,Morgan,0
1105,Perry,0
1107,Pickens,0
1109,Pike,0
1111,Randolph,0
1113,Russell,0
1115,St. Clair,0
1117,Shelby,0
1119,Sumter,0
1121,Talladega,0
1123,Tallapoosa,0
1125,Tuscaloosa,0
1127,Walker,0
1129,Washington,0
1131,Wilcox,0
1133,Winston,0
2000,Alaska,0
2013,Aleutians East,0
2016,Aleutians West,0
2020,Anchorage,0
2050,Bethel,0
2060,Bristol Bay,0
2068,Denali,0
2070,Dillingham,0
2090,Fairbanks North Star,0
2100,Haines,0
2110,Juneau,0
2122,Kenai Peninsula,0
2130,Ketchikan Gateway,0
2150,Kodiak Island,0
2164,Lake and Peninsula,0
2170,Matanuska-Susitna,0
2180,Nome,0
2185,North Slope,0
2188,Northwest Arctic,0
2201,Prince of Wales-Outer Ketchikan,0
2220,Sitka,0
2232,Skagway-Hoonah-Angoon,0
2240,Southeast Fairbanks,0
2261,Valdez-Cordova,0
2270,Wade Hampton,0
2280,Wrangell-Petersburg,0
2282,Yakutat,0
2290,Yukon-Koyukuk,0
4000,Arizona,0
4001,Apache,0
4003,Cochise,0
4005,Coconino,3
4007,Gila,0
4009,Graham,0
4011,Greenlee,0
4012,La Paz,0
4013,Maricopa,4
4015,Mohave,2
4017,Navajo,0
4019,Pima,0
4021,Pinal,0
4023,Santa Cruz,0
4025,Yavapai,0
4027,Yuma,1
5000,Arkansas,0
5001,Arkansas,0
5003,Ashley,0
5005,Baxter,0
5007,Benton,0
5009,Boone,0
5011,Bradley,0
5013,Calhoun,0
5015,Carroll,0
5017,Chicot,0
5019,Clark,0
5021,Clay,0
5023,Cleburne,0
5025,Cleveland,0
5027,Columbia,0
5029,Conway,0
5031,Craighead,0
5033,Crawford,0
5035,Crittenden,0
5037,Cross,0
5039,Dallas,0
5041,Desha,0
5043,Drew,0
5045,Faulkner,0
5047,Franklin,0
5049,Fulton,0
5051,Garland,0
5053,Grant,0
5055,Greene,0
5057,Hempstead,0
5059,Hot Spring,0
5061,Howard,0
5063,Independence,0
5065,Izard,0
5067,Jackson,0
5069,Jefferson,0
5071,Johnson,0
5073,Lafayette,0
5075,Lawrence,0
5077,Lee,0
5079,Lincoln,0
5081,Little River,0
5083,Logan,0
5085,Lonoke,0
5087,Madison,0
5089,Marion,0
5091,Miller,0
